Microservices,CPU,mem,response,throughtput,timestamp
bookshop-purchases,51.2,583,3.685,184.1,13/07/2020 20:30
bookshop-books,51.1,1527,0.973,358.76,13/07/2020 20:30
bookshop-books,51.3,2035,0.355,324.9,13/07/2020 20:31
bookshop-books,66.7,2487,0.875,327.76,13/07/2020 20:32
bookshop-purchases,75.4,2551,2.336,111.5,13/07/2020 20:33
bookshop-books,74.7,3295,1.398,204.6,13/07/2020 20:35
bookshop-books,79.3,3448,1,205.83,13/07/2020 20:35
bookshop-purchases,56,3453,10.02,93.633,13/07/2020 20:36
bookshop-purchases,56.8,3482,45.2,30.767,13/07/2020 20:37
bookshop-books,57,4368,6.086,154.27,13/07/2020 20:37
bookshop-purchases,56.3,3546,22.54,36.533,13/07/2020 20:38
bookshop-purchases,55.6,3604,10.15,30.567,13/07/2020 20:39
bookshop-purchases,54.4,3653,8.196,28.2,13/07/2020 20:40
bookshop-purchases,53.7,3681,6.328,27.667,13/07/2020 20:40
bookshop-purchases,48.5,3728,15.63,24,13/07/2020 20:42
bookshop-purchases,52.8,3775,72.79,21.467,13/07/2020 20:43
bookshop-books,52.5,4449,5029,38.667,13/07/2020 20:43
bookshop-purchases,46.6,3795,50.47,19.867,13/07/2020 20:44
bookshop-books,46.4,4455,2.938,53.533,13/07/2020 20:44
bookshop-purchases,49.1,3809,8.224,23.5,13/07/2020 20:44
bookshop-purchases,50,3834,7.555,16.3,13/07/2020 20:45
bookshop-purchases,44.6,3849,33.09,20.067,13/07/2020 20:46
bookshop-books,50.2,4488,3532,32.824,13/07/2020 20:47
bookshop-purchases,42.1,3900,34.9,15.2,13/07/2020 20:48
bookshop-purchases,41.6,3911,12.37,13.5,13/07/2020 20:49
bookshop-purchases,45.9,3920,7.925,9.867,13/07/2020 20:50
bookshop-books,41.2,4502,1.625,22.606,13/07/2020 20:50
bookshop-purchases,44.8,3935,60.52,8.767,13/07/2020 20:51
bookshop-purchases,43.1,3953,7.788,8.467,13/07/2020 20:52
bookshop-books,42.6,4509,1,19.818,13/07/2020 20:52
bookshop-books,42.7,4503,1.789,18.029,13/07/2020 20:52
bookshop-purchases,39.7,3971,70.18,6.5,13/07/2020 20:53
bookshop-purchases,40.7,3955,31.96,4.5,13/07/2020 20:56
bookshop-purchases,39.9,3956,23.11,5.367,13/07/2020 20:57
bookshop-purchases,37.1,3957,56.41,3,13/07/2020 21:02
bookshop-books,37.7,892,0.955,369.73,21/07/2020 12:43
bookshop-books,51.5,1160,0.002,321.96,21/07/2020 12:44
bookshop-purchases,87.9,3538,10.15,82.633,21/07/2020 12:50
bookshop-purchases,89.7,3610,4.374,78.867,21/07/2020 12:51
bookshop-purchases,88.4,3867,26.97,70.467,21/07/2020 12:53
bookshop-books,72.3,4329,1,96.406,21/07/2020 12:54
bookshop-purchases,86.8,4359,6.91,49.5,21/07/2020 12:56
bookshop-books,84.8,4408,1.614,98.667,21/07/2020 12:56
bookshop-purchases,71.3,1585,6.184,129.33,21/07/2020 13:04
bookshop-purchases,79.5,3271,3.69,97.667,21/07/2020 13:07
bookshop-books,86.4,3844,0.991,177.13,21/07/2020 13:08
bookshop-purchases,85.5,3616,1.001,149.96,21/07/2020 13:09
bookshop-books,87,4089,1.002,154.16,21/07/2020 13:10
bookshop-purchases,87.7,3799,4.196,71,21/07/2020 13:10
bookshop-books,72.4,4264,1.135,102.86,21/07/2020 13:12
bookshop-books,73.8,4326,1.375,83.267,21/07/2020 13:15
bookshop-books,73.3,4421,0.918,98.8,21/07/2020 13:17
bookshop-books,72.2,4475,1.868,76.233,21/07/2020 13:19
bookshop-books,70.7,4484,1.531,75.938,21/07/2020 13:20
bookshop-books,68.6,4486,1.119,72.9,21/07/2020 13:20
bookshop-purchases,68.8,4405,12.53,31.5,21/07/2020 13:22
bookshop-books,67.3,4499,0.984,67.1,21/07/2020 13:22
bookshop-books,67.5,4510,1.228,53.97,21/07/2020 13:23
bookshop-purchases,70.6,4402,48.15,34.533,21/07/2020 13:23
bookshop-purchases,69.8,4409,19.42,28.967,21/07/2020 13:24
bookshop-books,69,4526,1.089,58.344,21/07/2020 13:24
bookshop-purchases,62.4,4418,4.033,28.8,21/07/2020 13:24
bookshop-purchases,62,4410,8.49,25.067,21/07/2020 13:25
bookshop-purchases,70.3,4412,103.5,30.133,21/07/2020 13:28
bookshop-books,62.5,4563,0.915,49.412,21/07/2020 13:29
bookshop-purchases,62.2,4416,18.09,19.667,21/07/2020 13:31
bookshop-books,61,4564,0.508,46.03,21/07/2020 13:31
bookshop-books,64,4567,1710,44.545,21/07/2020 13:32
bookshop-books,61.2,4570,0.479,42.806,21/07/2020 13:33
bookshop-purchases,54.7,4422,7.517,16.8,21/07/2020 13:35
bookshop-purchases,54.3,4423,43.27,15.567,21/07/2020 13:36
bookshop-books,55.2,4574,0.75,20.265,21/07/2020 13:36
bookshop-purchases,45.4,4424,14.03,9.4,21/07/2020 13:38
bookshop-ui,49.2,296,2.972,8.333,21/07/2020 13:39
bookshop-books,50.7,4575,1.621,21.147,21/07/2020 13:39
bookshop-purchases,50.5,4425,12.48,9.333,21/07/2020 13:41
bookshop-purchases,47.4,4426,16.05,9.467,21/07/2020 13:43
bookshop-purchases,75.8,1988,3.353,110.7,21/07/2020 13:50
bookshop-purchases,76.5,2740,7.597,100.96,21/07/2020 13:51
bookshop-purchases,86.9,3735,5.274,71.067,21/07/2020 13:55
bookshop-purchases,21.3,332,14.82,28.833,21/07/2020 14:33
bookshop-purchases,25.2,342,62.46,28.7,21/07/2020 14:34
bookshop-books,25,2189,11.88,58.967,21/07/2020 14:34
bookshop-purchases,26.1,394,136.2,28.967,21/07/2020 14:34
bookshop-ui,26.3,339,10.28,29.7,21/07/2020 14:34
bookshop-purchases,25.5,415,7.15,102.36,21/07/2020 14:35
bookshop-books,61.8,2282,2.444,221.83,21/07/2020 14:35
bookshop-purchases,26,606,27.59,27,21/07/2020 14:37
bookshop-books,25.9,3042,1.905,53.533,21/07/2020 14:37
bookshop-purchases,25.8,608,7.802,97.367,21/07/2020 14:40
