Microservices,CPU,mem,response,throughtput,timestamp
bookshop-books,34.9,4304,3843,4.7,07/07/2020 18:23
bookshop-ui,33.3,284,7.948,1.967,07/07/2020 18:23
bookshop-purchases,33.3,588,49.1,2.233,07/07/2020 18:23
bookshop-books,33.7,4304,6.899,3.567,07/07/2020 18:23
bookshop-ui,35.1,284,11.48,1.6,07/07/2020 18:24
bookshop-purchases,35,588,38.25,1.7,07/07/2020 18:24
bookshop-books,33.8,4304,5760,2.967,07/07/2020 18:24
bookshop-ui,34.6,284,82.74,1.267,07/07/2020 18:24
bookshop-purchases,34.6,588,20.33,1.267,07/07/2020 18:24
bookshop-books,34.6,4304,3.931,2.133,07/07/2020 18:24
bookshop-ui,34.7,284,1894,0.967,07/07/2020 18:25
bookshop-purchases,34.7,588,21.46,1.1,07/07/2020 18:25
bookshop-books,34.6,4304,3832,1.7,07/07/2020 18:25
bookshop-ui,34.6,285,7282,0.733,07/07/2020 18:25
bookshop-purchases,34.6,588,26.06,0.867,07/07/2020 18:25
bookshop-books,34.6,4304,5760,1.467,07/07/2020 18:25
bookshop-ui,34.6,285,7424,0.5,07/07/2020 18:26
bookshop-purchases,34.6,588,10.26,0.733,07/07/2020 18:26
bookshop-books,34.6,4304,3851,1.067,07/07/2020 18:26
bookshop-ui,34.5,285,3799,0.4,07/07/2020 18:26
bookshop-purchases,34.6,588,9.14,0.6,07/07/2020 18:26
bookshop-books,34.6,4305,91.86,0.867,07/07/2020 18:26
bookshop-ui,34.5,285,7577,0.233,07/07/2020 18:27
bookshop-purchases,34.5,588,19.43,0.567,07/07/2020 18:27
bookshop-books,34.5,4305,3335,0.833,07/07/2020 18:27
bookshop-ui,34.5,285,13230,0.267,07/07/2020 18:27
bookshop-purchases,34.5,588,23.79,0.3,07/07/2020 18:27
bookshop-books,34.5,4305,7579,0.467,07/07/2020 18:27
bookshop-ui,34.6,285,11780,0.067,07/07/2020 18:28
bookshop-purchases,34.6,588,11.96,0.267,07/07/2020 18:28
bookshop-books,34.5,4305,6415,0.367,07/07/2020 18:28
bookshop-ui,34.7,285,2350,0.067,07/07/2020 18:29
bookshop-purchases,34.6,589,9.938,0.133,07/07/2020 18:29
bookshop-books,33.3,4306,0.5,0.133,07/07/2020 18:29
bookshop-ui,33.8,297,4.911,140.4,07/07/2020 20:13
bookshop-purchases,34.6,571,5.285,140.3,07/07/2020 20:13
bookshop-books,36.3,4302,1.981,280.76,07/07/2020 20:13
bookshop-ui,35.8,297,3.619,96.267,07/07/2020 20:13
